product_id,product_name,category_id,category_name,price,created_at
1,USB-C Charger 5,5,サービス,45905,2024-07-23
2,USB-C Charger 1,4,アクセサリ,21285,2024-07-23
3,Surface スリム ペン 2,5,サービス,35441,2024-07-23
4,Surface Pro 4,5,サービス,218061,2024-07-23
5,Surface Pro 6,1,PC・タブレット,138285,2024-07-23
6,Surface Mouse 6,3,ソフトウェア,16805,2024-07-23
7,Surface Laptop 5,2,ゲーム・エンタメ,121013,2024-07-23
8,Windows Server 2,1,PC・タブレット,138269,2024-07-23
9,Microsoft 365 5,2,ゲーム・エンタメ,92218,2024-07-23
10,Arc Mouse 1,1,PC・タブレット,24767,2024-07-23
11,Office 2,1,PC・タブレット,187801,2024-07-23
12,Surface Dock 1,3,ソフトウェア,91572,2024-07-23
13,Surface Pro 1,4,アクセサリ,78902,2024-07-23
14,Xbox Series 4,2,ゲーム・エンタメ,83973,2024-07-23
15,Xbox Series 6,5,サービス,217877,2024-07-23
16,Surface ペン 1,2,ゲーム・エンタメ,119355,2024-07-23
17,Windows Server 6,2,ゲーム・エンタメ,120354,2024-07-23
18,Surface Laptop 2,3,ソフトウェア,95055,2024-07-23
19,Surface Dock 6,4,アクセサリ,23297,2024-07-23
20,Surface ペン 5,2,ゲーム・エンタメ,19842,2024-07-23
21,Xbox コントローラー 4,1,PC・タブレット,94582,2024-07-23
22,USB-C トラベルハブ 5,3,ソフトウェア,30919,2024-07-23
23,Surface Pro 2,3,ソフトウェア,171928,2024-07-23
24,Surface スリム ペン 5,3,ソフトウェア,208928,2024-07-23
25,OneDrive 1,4,アクセサリ,67035,2024-07-23
26,Type Cover 5,2,ゲーム・エンタメ,89476,2024-07-23
27,Microsoft 365 4,2,ゲーム・エンタメ,124534,2024-07-23
28,Xbox コントローラー 2,1,PC・タブレット,135988,2024-07-23
29,Surface ペン 3,5,サービス,244922,2024-07-23
30,OneDrive 2,2,ゲーム・エンタメ,102719,2024-07-23
31,Surface Mouse 1,2,ゲーム・エンタメ,129699,2024-07-23
32,Modern Webcam 5,2,ゲーム・エンタメ,100315,2024-07-23
33,Surface Go 6,2,ゲーム・エンタメ,144078,2024-07-23
34,Arc Mouse 6,5,サービス,230890,2024-07-23
35,Surface ペン 4,1,PC・タブレット,87393,2024-07-23
36,Arc Mouse 4,2,ゲーム・エンタメ,134771,2024-07-23
37,Surface スリム ペン 6,3,ソフトウェア,85272,2024-07-23
38,Microsoft 365 1,1,PC・タブレット,41040,2024-07-23
39,Surface Earbuds 5,1,PC・タブレット,141155,2024-07-23
40,Surface Dock 5,1,PC・タブレット,5150,2024-07-23
41,Surface Go 1,5,サービス,211534,2024-07-23
42,Xbox コントローラー 1,2,ゲーム・エンタメ,133336,2024-07-23
43,Microsoft 365 6,4,アクセサリ,182385,2024-07-23
44,OneDrive 6,5,サービス,4573,2024-07-23
45,Surface Laptop 6,1,PC・タブレット,43630,2024-07-23
46,Surface Pro 3,4,アクセサリ,63903,2024-07-23
47,USB-C トラベルハブ 4,2,ゲーム・エンタメ,210913,2024-07-23
48,Surface Go 2,5,サービス,70878,2024-07-23
49,USB-C トラベルハブ 6,3,ソフトウェア,10954,2024-07-23
50,Surface Mouse 3,3,ソフトウェア,19122,2024-07-23
51,Modern Webcam 6,5,サービス,101032,2024-07-23
52,Microsoft 365 2,4,アクセサリ,167830,2024-07-23
53,Xbox コントローラー 3,4,アクセサリ,230172,2024-07-23
54,Office 5,1,PC・タブレット,27685,2024-07-23
55,Surface ペン 2,1,PC・タブレット,36495,2024-07-23
56,Xbox Series 2,2,ゲーム・エンタメ,29265,2024-07-23
57,Xbox Series 5,5,サービス,195857,2024-07-23
58,Modern Webcam 2,2,ゲーム・エンタメ,52837,2024-07-23
59,Xbox Game Pass 5,1,PC・タブレット,14175,2024-07-23
60,Xbox Game Pass 6,5,サービス,46620,2024-07-23
61,Surface Dock 4,5,サービス,219715,2024-07-23
62,Surface Earbuds 6,2,ゲーム・エンタメ,70327,2024-07-23
63,USB-C トラベルハブ 3,5,サービス,118969,2024-07-23
64,USB-C トラベルハブ 2,3,ソフトウェア,26275,2024-07-23
65,USB-C Charger 2,4,アクセサリ,59538,2024-07-23
66,Surface Earbuds 2,3,ソフトウェア,245888,2024-07-23
67,Office 3,4,アクセサリ,151002,2024-07-23
68,Surface Laptop 4,2,ゲーム・エンタメ,163554,2024-07-23
69,Xbox Series 1,4,アクセサリ,29090,2024-07-23
70,Xbox コントローラー 6,2,ゲーム・エンタメ,196066,2024-07-23
